author_type,url,floor,floors_count,rooms_count,total_meters,price,underground
developer,https://www.cian.ru/sale/flat/309197741/,2,12,1,39.97,7335934.0,Силикатная
developer,https://www.cian.ru/sale/flat/309187970/,5,17,1,34.6,7320806.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/309188149/,3,14,1,35.4,7346593.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/306745431/,3,9,1,32.4,7366496.0,Толстопальцево
developer,https://www.cian.ru/sale/flat/309259262/,5,28,1,32.3,7398605.0,Зеленоград — Крюково
developer,https://www.cian.ru/sale/flat/309185663/,2,12,1,35.81,7376860.0,Щербинка
developer,https://www.cian.ru/sale/flat/309190373/,3,12,1,32.42,7361497.0,Щербинка
developer,https://www.cian.ru/sale/flat/309195396/,12,14,1,35.3,7413398.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/309188067/,7,14,1,35.4,7414136.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/306745436/,2,9,1,36.8,7414186.0,Толстопальцево
developer,https://www.cian.ru/sale/flat/306670888/,2,9,1,34.3,7435896.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/306685285/,3,9,1,33.1,7427308.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/307787625/,2,11,1,34.5,7430885.0,Щербинка
developer,https://www.cian.ru/sale/flat/309197738/,8,9,1,37.12,7401171.0,Силикатная
developer,https://www.cian.ru/sale/flat/309188228/,2,14,1,37.11,7420182.0,Рассказовка
realtor,https://www.cian.ru/sale/flat/309066258/,14,14,1,40.0,7380000.0,Щербинка
developer,https://www.cian.ru/sale/flat/291103112/,2,3,1,45.5,7371000.0,
developer,https://www.cian.ru/sale/flat/297846888/,1,3,1,45.9,7435800.0,Апрелевка
developer,https://www.cian.ru/sale/flat/298379390/,3,3,1,45.9,7435800.0,
real_estate_agent,https://www.cian.ru/sale/flat/288557638/,1,7,1,25.7,7453000.0,Кожуховская
real_estate_agent,https://www.cian.ru/sale/flat/304612074/,1,7,1,18.9,7495000.0,Кожуховская
developer,https://www.cian.ru/sale/flat/309186526/,1,9,1,38.27,7483086.0,Рассказовка
developer,https://www.cian.ru/sale/flat/309213311/,1,13,1,32.56,7493357.0,Новоподрезково
developer,https://www.cian.ru/sale/flat/309188383/,9,12,1,35.77,7493135.0,Рассказовка
developer,https://www.cian.ru/sale/flat/306744972/,2,10,1,37.0,7476817.0,Толстопальцево
developer,https://www.cian.ru/sale/flat/303687688/,2,9,1,32.4,7467227.0,Филатов Луг
